,Date,Open,High,Low,Close,Adj. Close,Volume
121,"Jan 22, 2020","1,896.09","1,902.50","1,883.34","1,887.46","1,887.46","3,216,300"
122,"Jan 21, 2020","1,865.00","1,894.27","1,860.00","1,892.00","1,892.00","3,707,800"
123,"Jan 17, 2020","1,885.89","1,886.64","1,857.25","1,864.72","1,864.72","3,997,300"
124,"Jan 16, 2020","1,882.99","1,885.59","1,866.02","1,877.94","1,877.94","2,659,500"
125,"Jan 15, 2020","1,872.25","1,878.86","1,855.09","1,862.02","1,862.02","2,896,600"
126,"Jan 14, 2020","1,885.88","1,887.11","1,858.55","1,869.44","1,869.44","3,440,900"
127,"Jan 13, 2020","1,891.31","1,898.00","1,880.80","1,891.30","1,891.30","2,780,800"
128,"Jan 10, 2020","1,905.37","1,906.94","1,880.00","1,883.16","1,883.16","2,853,700"
129,"Jan 09, 2020","1,909.89","1,917.82","1,895.80","1,901.05","1,901.05","3,167,300"
130,"Jan 08, 2020","1,898.04","1,911.00","1,886.44","1,891.97","1,891.97","3,508,000"
131,"Jan 07, 2020","1,904.50","1,913.89","1,892.04","1,906.86","1,906.86","4,044,900"
132,"Jan 06, 2020","1,860.00","1,903.69","1,860.00","1,902.88","1,902.88","4,061,800"
133,"Jan 03, 2020","1,864.50","1,886.20","1,864.50","1,874.97","1,874.97","3,764,400"
134,"Jan 02, 2020","1,875.00","1,898.01","1,864.15","1,898.01","1,898.01","4,029,000"
135,"Dec 31, 2019","1,842.00","1,853.26","1,832.23","1,847.84","1,847.84","2,506,500"
136,"Dec 30, 2019","1,874.00","1,884.00","1,840.62","1,846.89","1,846.89","3,674,700"
137,"Dec 27, 2019","1,882.92","1,901.40","1,866.01","1,869.80","1,869.80","6,186,600"
138,"Dec 26, 2019","1,801.01","1,870.46","1,799.50","1,868.77","1,868.77","6,005,400"
139,"Dec 24, 2019","1,793.81","1,795.57","1,787.58","1,789.21","1,789.21","881,300"
140,"Dec 23, 2019","1,788.26","1,793.00","1,784.51","1,793.00","1,793.00","2,136,400"
141,"Dec 20, 2019","1,799.62","1,802.97","1,782.45","1,786.50","1,786.50","5,150,800"
142,"Dec 19, 2019","1,780.50","1,792.99","1,774.06","1,792.28","1,792.28","2,652,800"
143,"Dec 18, 2019","1,795.02","1,798.20","1,782.36","1,784.03","1,784.03","3,351,400"
144,"Dec 17, 2019","1,778.01","1,792.00","1,777.39","1,790.66","1,790.66","3,644,400"
145,"Dec 16, 2019","1,767.00","1,769.50","1,757.05","1,769.21","1,769.21","3,145,200"
146,"Dec 13, 2019","1,765.00","1,768.99","1,755.00","1,760.94","1,760.94","2,745,700"
147,"Dec 12, 2019","1,750.00","1,764.00","1,745.44","1,760.33","1,760.33","3,095,900"
148,"Dec 11, 2019","1,741.67","1,750.00","1,735.71","1,748.72","1,748.72","2,097,600"
149,"Dec 10, 2019","1,747.40","1,750.67","1,735.00","1,739.21","1,739.21","2,514,300"
150,"Dec 09, 2019","1,750.66","1,766.89","1,745.61","1,749.51","1,749.51","2,442,800"
151,"Dec 06, 2019","1,751.20","1,754.40","1,740.13","1,751.60","1,751.60","3,117,400"
152,"Dec 05, 2019","1,763.50","1,763.50","1,740.00","1,740.48","1,740.48","2,823,800"
153,"Dec 04, 2019","1,774.01","1,789.09","1,760.22","1,760.69","1,760.69","2,670,100"
154,"Dec 03, 2019","1,760.00","1,772.87","1,747.23","1,769.96","1,769.96","3,380,900"
155,"Dec 02, 2019","1,804.40","1,805.55","1,762.68","1,781.60","1,781.60","3,925,600"
156,"Nov 29, 2019","1,817.78","1,824.69","1,800.79","1,800.80","1,800.80","1,923,400"
157,"Nov 27, 2019","1,801.00","1,824.50","1,797.31","1,818.51","1,818.51","3,025,600"
158,"Nov 26, 2019","1,779.92","1,797.03","1,778.35","1,796.94","1,796.94","3,181,200"
159,"Nov 25, 2019","1,753.25","1,777.42","1,753.24","1,773.84","1,773.84","3,486,200"
160,"Nov 22, 2019","1,739.02","1,746.43","1,731.00","1,745.72","1,745.72","2,479,100"
161,"Nov 21, 2019","1,743.00","1,746.87","1,730.36","1,734.71","1,734.71","2,662,900"
162,"Nov 20, 2019","1,749.14","1,762.52","1,734.12","1,745.53","1,745.53","2,790,000"
163,"Nov 19, 2019","1,756.99","1,760.68","1,743.03","1,752.79","1,752.79","2,270,800"
164,"Nov 18, 2019","1,738.30","1,753.70","1,722.71","1,752.53","1,752.53","2,839,500"
165,"Nov 15, 2019","1,760.05","1,761.68","1,732.86","1,739.49","1,739.49","3,927,600"
166,"Nov 14, 2019","1,751.43","1,766.59","1,749.56","1,754.60","1,754.60","2,264,800"
167,"Nov 13, 2019","1,773.39","1,775.00","1,747.32","1,753.11","1,753.11","2,989,500"
168,"Nov 12, 2019","1,774.66","1,786.22","1,771.91","1,778.00","1,778.00","2,037,600"
169,"Nov 11, 2019","1,778.00","1,780.00","1,767.13","1,771.65","1,771.65","1,946,000"
170,"Nov 08, 2019","1,787.89","1,789.88","1,774.04","1,785.88","1,785.88","2,123,300"
171,"Nov 07, 2019","1,803.76","1,805.90","1,783.48","1,788.20","1,788.20","2,651,100"
172,"Nov 06, 2019","1,801.00","1,802.50","1,788.58","1,795.77","1,795.77","2,029,800"
173,"Nov 05, 2019","1,809.16","1,810.25","1,794.00","1,801.71","1,801.71","1,885,500"
174,"Nov 04, 2019","1,801.01","1,815.06","1,801.01","1,804.66","1,804.66","2,771,900"
175,"Nov 01, 2019","1,788.01","1,797.45","1,785.21","1,791.44","1,791.44","2,790,400"
176,"Oct 31, 2019","1,775.99","1,792.00","1,771.48","1,776.66","1,776.66","2,781,200"
177,"Oct 30, 2019","1,760.24","1,782.38","1,759.12","1,779.99","1,779.99","2,449,400"
178,"Oct 29, 2019","1,774.81","1,777.00","1,755.81","1,762.71","1,762.71","2,276,900"
179,"Oct 28, 2019","1,748.06","1,778.70","1,742.50","1,777.08","1,777.08","3,708,900"
180,"Oct 25, 2019","1,697.55","1,764.21","1,695.00","1,761.33","1,761.33","9,626,400"
181,"Oct 24, 2019","1,771.09","1,788.34","1,760.27","1,780.78","1,780.78","4,446,100"
182,"Oct 23, 2019","1,761.30","1,770.05","1,742.00","1,762.17","1,762.17","2,138,200"
183,"Oct 22, 2019","1,788.15","1,789.78","1,762.00","1,765.73","1,765.73","2,111,700"
184,"Oct 21, 2019","1,769.66","1,785.88","1,765.00","1,785.66","1,785.66","2,130,400"
185,"Oct 18, 2019","1,787.80","1,793.98","1,749.20","1,757.51","1,757.51","3,362,500"
186,"Oct 17, 2019","1,796.49","1,798.85","1,782.02","1,787.48","1,787.48","2,647,400"
187,"Oct 16, 2019","1,773.33","1,786.24","1,770.52","1,777.43","1,777.43","2,763,400"
188,"Oct 15, 2019","1,742.14","1,776.45","1,740.62","1,767.38","1,767.38","3,111,700"
189,"Oct 14, 2019","1,728.91","1,741.89","1,722.00","1,736.43","1,736.43","1,910,200"
190,"Oct 11, 2019","1,742.92","1,745.45","1,729.86","1,731.92","1,731.92","3,255,000"
191,"Oct 10, 2019","1,725.24","1,738.29","1,713.75","1,720.26","1,720.26","2,575,200"
192,"Oct 09, 2019","1,719.61","1,729.95","1,714.36","1,721.99","1,721.99","2,043,500"
193,"Oct 08, 2019","1,722.49","1,727.00","1,705.00","1,705.51","1,705.51","2,542,000"
194,"Oct 07, 2019","1,731.63","1,747.83","1,723.70","1,732.66","1,732.66","2,154,700"
195,"Oct 04, 2019","1,726.02","1,740.58","1,719.23","1,739.65","1,739.65","2,471,900"
196,"Oct 03, 2019","1,713.00","1,725.00","1,685.06","1,724.42","1,724.42","3,468,200"
197,"Oct 02, 2019","1,727.74","1,728.89","1,705.00","1,713.23","1,713.23","3,301,100"
198,"Oct 01, 2019","1,746.00","1,755.60","1,728.41","1,735.65","1,735.65","3,084,500"
199,"Sep 30, 2019","1,726.99","1,737.46","1,709.22","1,735.91","1,735.91","2,644,700"
200,"Sep 27, 2019","1,748.00","1,749.12","1,713.82","1,725.45","1,725.45","3,907,200"
201,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,,,,,,
